"","Temperature","OxygenPerSat","Salinity","Distancefrom_L1"
"Long_Sound1_10",12.27503333,8.3414,34.25163333,0
"Long_Sound2_10",12.2208,8.303166667,34.035175,5.59
"Long_Sound3_10",12.34446667,5.3004,33.91176667,14.3
"Long_Sound4_10",12.27206667,6.7313,33.76313333,10.67
"Long_Sound5_10",12.1017,6.9302,33.8361,8.47
"Long_Sound6_10",12.1234,8.133566667,33.73716667,4.73
"Long_Sound7_10",12.10553333,8.179966667,33.69996667,3.16
"Long_Sound8_10",12.01466667,7.797833333,34.20613333,2.47
